data;dzien;miesiac;rok;zachorowania;zgony
01.03.2021;1;3;2021;1706986;43769
02.03.2021;2;3;2021;4786;24
03.03.2021;3;3;2021;7936;215
04.03.2021;4;3;2021;15698;352
05.03.2021;5;3;2021;15253;289
06.03.2021;6;3;2021;15831;263
07.03.2021;7;3;2021;14855;247
08.03.2021;8;3;2021;13569;126
09.03.2021;9;3;2021;6169;32
10.03.2021;10;3;2021;9953;282
11.03.2021;11;3;2021;17277;398
12.03.2021;12;3;2021;21111;376
13.03.2021;13;3;2021;18873;351
14.03.2021;14;3;2021;21063;344
15.03.2021;15;3;2021;17272;110
16.03.2021;16;3;2021;10895;28
17.03.2021;17;3;2021;14394;372
18.03.2021;18;3;2021;25053;454
19.03.2021;19;3;2021;27274;356
20.03.2021;20;3;2021;25996;419
21.03.2021;21;3;2021;26456;352
22.03.2021;22;3;2021;21850;141
23.03.2021;23;3;2021;14579;65
24.03.2021;24;3;2021;16740;396
25.03.2021;25;3;2021;30802;579
26.03.2021;26;3;2021;34150;520
27.03.2021;27;3;2021;35145;445
28.03.2021;28;3;2021;31759;448
29.03.2021;29;3;2021;29266;131
30.03.2021;30;3;2021;16973;48
31.03.2021;31;3;2021;20862;460
01.04.2021;1;4;2021;32891;653
02.04.2021;2;4;2021;35253;620
03.04.2021;3;4;2021;30541;500
04.04.2021;4;4;2021;28073;572
05.04.2021;5;4;2021;22958;204
06.04.2021;6;4;2021;9921;64
07.04.2021;7;4;2021;8246;60
08.04.2021;8;4;2021;14908;638
09.04.2021;9;4;2021;27890;956
10.04.2021;10;4;2021;28499;768
11.04.2021;11;4;2021;24892;749
12.04.2021;12;4;2021;21733;245
13.04.2021;13;4;2021;12016;60
14.04.2021;14;4;2021;13203;645
15.04.2021;15;4;2021;21266;804
16.04.2021;16;4;2021;21126;682
17.04.2021;17;4;2021;17846;596
18.04.2021;18;4;2021;15786;617
19.04.2021;19;4;2021;12151;207
20.04.2021;20;4;2021;7302;101
21.04.2021;21;4;2021;9244;601
22.04.2021;22;4;2021;13922;739
23.04.2021;23;4;2021;12763;695
24.04.2021;24;4;2021;10866;539
25.04.2021;25;4;2021;9510;515
26.04.2021;26;4;2021;7224;193
27.04.2021;27;4;2021;3467;22
28.04.2021;28;4;2021;5711;460
29.04.2021;29;4;2021;8893;636
