data;dzien;miesiac;rok;temperatura
01.03.2021;1;3;2021;2.67
02.03.2021;2;3;2021;3.89
03.03.2021;3;3;2021;1.22
04.03.2021;4;3;2021;3.11
05.03.2021;5;3;2021;0.17
06.03.2021;6;3;2021;0.33
07.03.2021;7;3;2021;2.33
08.03.2021;8;3;2021;-1
09.03.2021;9;3;2021;-1.83
10.03.2021;10;3;2021;-1.61
11.03.2021;11;3;2021;-0.89
12.03.2021;12;3;2021;4.94
13.03.2021;13;3;2021;5.72
14.03.2021;14;3;2021;6.06
15.03.2021;15;3;2021;2.72
16.03.2021;16;3;2021;3
17.03.2021;17;3;2021;1.94
18.03.2021;18;3;2021;-0.28
19.03.2021;19;3;2021;-1.11
20.03.2021;20;3;2021;3.67
21.03.2021;21;3;2021;-0.39
22.03.2021;22;3;2021;1.28
23.03.2021;23;3;2021;5.72
24.03.2021;24;3;2021;5.89
25.03.2021;25;3;2021;6.5
26.03.2021;26;3;2021;7.11
27.03.2021;27;3;2021;9.44
28.03.2021;28;3;2021;5.5
29.03.2021;29;3;2021;7.22
30.03.2021;30;3;2021;10.83
31.03.2021;31;3;2021;11.5
01.04.2021;1;4;2021;12.39
02.04.2021;2;4;2021;6.11
03.04.2021;3;4;2021;5.33
04.04.2021;4;4;2021;3.61
05.04.2021;5;4;2021;5.56
06.04.2021;6;4;2021;1.94
07.04.2021;7;4;2021;0.89
08.04.2021;8;4;2021;2.94
09.04.2021;9;4;2021;5.83
10.04.2021;10;4;2021;9.83
11.04.2021;11;4;2021;13.5
12.04.2021;12;4;2021;12.78
13.04.2021;13;4;2021;4.56
14.04.2021;14;4;2021;2.78
15.04.2021;15;4;2021;4.22
16.04.2021;16;4;2021;5.56
17.04.2021;17;4;2021;7.11
18.04.2021;18;4;2021;9.11
19.04.2021;19;4;2021;12.33
20.04.2021;20;4;2021;11.33
21.04.2021;21;4;2021;12.06
22.04.2021;22;4;2021;7.44
23.04.2021;23;4;2021;4.33
24.04.2021;24;4;2021;5.83
25.04.2021;25;4;2021;5.39
26.04.2021;26;4;2021;3.44
27.04.2021;27;4;2021;4.17
28.04.2021;28;4;2021;8.22
29.04.2021;29;4;2021;12.61
30.04.2021;30;4;2021;12
01.05.2021;1;5;2021;7.83
02.05.2021;2;5;2021;8.56
03.05.2021;3;5;2021;6.22
04.05.2021;4;5;2021;9.89
05.05.2021;5;5;2021;11.11
06.05.2021;6;5;2021;9.17
07.05.2021;7;5;2021;7.39
08.05.2021;8;5;2021;7.11
09.05.2021;9;5;2021;12
10.05.2021;10;5;2021;17.33
11.05.2021;11;5;2021;20.11
12.05.2021;12;5;2021;20.33
13.05.2021;13;5;2021;16.61
14.05.2021;14;5;2021;16
15.05.2021;15;5;2021;14.83
16.05.2021;16;5;2021;14.22
17.05.2021;17;5;2021;14.17
18.05.2021;18;5;2021;13.17
19.05.2021;19;5;2021;12.06
20.05.2021;20;5;2021;12.28
21.05.2021;21;5;2021;14.17
22.05.2021;22;5;2021;12.5
23.05.2021;23;5;2021;13.33
24.05.2021;24;5;2021;14.39
25.05.2021;25;5;2021;14.06
26.05.2021;26;5;2021;13.61
27.05.2021;27;5;2021;14.28
28.05.2021;28;5;2021;12.78
29.05.2021;29;5;2021;12.83
30.05.2021;30;5;2021;14.28
31.05.2021;31;5;2021;14.22
01.06.2021;1;6;2021;14.11
02.06.2021;2;6;2021;15.72
03.06.2021;3;6;2021;17.67
04.06.2021;4;6;2021;19.06
05.06.2021;5;6;2021;18.17
06.06.2021;6;6;2021;19.17
07.06.2021;7;6;2021;20.83
08.06.2021;8;6;2021;20.5
09.06.2021;9;6;2021;19.83
10.06.2021;10;6;2021;20
11.06.2021;11;6;2021;18.67
12.06.2021;12;6;2021;17.17
13.06.2021;13;6;2021;14.33
14.06.2021;14;6;2021;16.89
15.06.2021;15;6;2021;18.5
16.06.2021;16;6;2021;20.28
17.06.2021;17;6;2021;21.56
18.06.2021;18;6;2021;24.06
19.06.2021;19;6;2021;25
20.06.2021;20;6;2021;25.06
21.06.2021;21;6;2021;26
22.06.2021;22;6;2021;25.17
23.06.2021;23;6;2021;23.33
24.06.2021;24;6;2021;22.17
25.06.2021;25;6;2021;20.67
26.06.2021;26;6;2021;21.11
27.06.2021;27;6;2021;20.67
28.06.2021;28;6;2021;20.72
29.06.2021;29;6;2021;23.11
30.06.2021;30;6;2021;22.83
01.07.2021;1;7;2021;21
02.07.2021;2;7;2021;18.78
03.07.2021;3;7;2021;18.61
04.07.2021;4;7;2021;18.72
05.07.2021;5;7;2021;21
06.07.2021;6;7;2021;23.06
07.07.2021;7;7;2021;25.61
08.07.2021;8;7;2021;23.78
09.07.2021;9;7;2021;24.28
10.07.2021;10;7;2021;19.17
11.07.2021;11;7;2021;21.17
12.07.2021;12;7;2021;23.61
13.07.2021;13;7;2021;22.22
14.07.2021;14;7;2021;26.72
15.07.2021;15;7;2021;23.78
16.07.2021;16;7;2021;22.78
17.07.2021;17;7;2021;24.39
18.07.2021;18;7;2021;23.39
19.07.2021;19;7;2021;20.78
20.07.2021;20;7;2021;19.33
21.07.2021;21;7;2021;19.17
22.07.2021;22;7;2021;19.06
23.07.2021;23;7;2021;20.28
24.07.2021;24;7;2021;21.67
25.07.2021;25;7;2021;24
26.07.2021;26;7;2021;21.78
27.07.2021;27;7;2021;22.44
28.07.2021;28;7;2021;24.11
29.07.2021;29;7;2021;21.83
30.07.2021;30;7;2021;20.94
31.07.2021;31;7;2021;21
01.08.2021;1;8;2021;19.22
02.08.2021;2;8;2021;17.67
03.08.2021;3;8;2021;18.33
04.08.2021;4;8;2021;16.61
05.08.2021;5;8;2021;16.06
06.08.2021;6;8;2021;14.78
07.08.2021;7;8;2021;18.72
08.08.2021;8;8;2021;19.33
09.08.2021;9;8;2021;19.83
10.08.2021;10;8;2021;17.89
11.08.2021;11;8;2021;18.22
12.08.2021;12;8;2021;17.72
13.08.2021;13;8;2021;19.78
14.08.2021;14;8;2021;21.5
15.08.2021;15;8;2021;21.39
16.08.2021;16;8;2021;21.28
17.08.2021;17;8;2021;16.61
18.08.2021;18;8;2021;16.06
19.08.2021;19;8;2021;18.89
20.08.2021;20;8;2021;17.94
21.08.2021;21;8;2021;16.89
22.08.2021;22;8;2021;17.11
23.08.2021;23;8;2021;17.28
24.08.2021;24;8;2021;14.89
25.08.2021;25;8;2021;12.28
26.08.2021;26;8;2021;13.61
27.08.2021;27;8;2021;15.22
28.08.2021;28;8;2021;14.72
29.08.2021;29;8;2021;14.11
30.08.2021;30;8;2021;14.5
31.08.2021;31;8;2021;16.28
01.09.2021;1;9;2021;12
02.09.2021;2;9;2021;9.11
03.09.2021;3;9;2021;9.72
04.09.2021;4;9;2021;6.39
05.09.2021;5;9;2021;4.67
06.09.2021;6;9;2021;5.39
07.09.2021;7;9;2021;8.06
08.09.2021;8;9;2021;11.39
09.09.2021;9;9;2021;12.39
10.09.2021;10;9;2021;11.06
11.09.2021;11;9;2021;12.22
12.09.2021;12;9;2021;16.22
13.09.2021;13;9;2021;13.94
14.09.2021;14;9;2021;12.67
15.09.2021;15;9;2021;12.39
16.09.2021;16;9;2021;15.06
17.09.2021;17;9;2021;14.28
18.09.2021;18;9;2021;10.28
19.09.2021;19;9;2021;6.39
20.09.2021;20;9;2021;4.06
21.09.2021;21;9;2021;5.67
22.09.2021;22;9;2021;5.94
23.09.2021;23;9;2021;10.06
24.09.2021;24;9;2021;8.28
25.09.2021;25;9;2021;12.72
26.09.2021;26;9;2021;11.61
27.09.2021;27;9;2021;8.22
28.09.2021;28;9;2021;6.56
29.09.2021;29;9;2021;6.83
30.09.2021;30;9;2021;8.78
01.10.2021;1;10;2021;8.89
02.10.2021;2;10;2021;11.67
03.10.2021;3;10;2021;12.78
04.10.2021;4;10;2021;15
05.10.2021;5;10;2021;14.72
06.10.2021;6;10;2021;13.89
07.10.2021;7;10;2021;11.33
08.10.2021;8;10;2021;8.33
09.10.2021;9;10;2021;7.83
